product_id,time_id,customer_id,promotion_id,store_id,store_sales,store_cost,unit_sales
480,1081,5090,78,1,6.76,2.77,4
657,1081,5090,78,1,4.24,1.31,2
540,1081,5090,78,1,1.53,0.52,3
890,1081,5090,78,1,5.22,1.93,2
1399,1081,5090,78,1,3.56,1.42,2
284,1081,5090,78,1,3.96,1.39,4
404,1081,872,78,1,3.75,1.84,3
128,1081,872,78,1,2.12,0.83,4
544,1081,872,78,1,8.85,3.01,3
854,1081,872,78,1,3.20,0.99,2
1236,1081,7021,78,1,13.28,4.78,4
747,1081,7021,78,1,7.32,3.29,4
1070,1081,7021,78,1,10.53,4.63,3
1255,1081,5578,78,1,2.48,0.92,2
1498,1081,5578,78,1,6.90,2.97,3
1182,1081,5578,78,1,4.20,1.47,3
573,1081,5578,78,1,10.17,3.46,3
623,1081,5606,78,1,5.40,2.00,3
279,1081,5606,78,1,8.46,3.13,3
895,1081,5606,78,1,1.30,0.64,2
606,1081,5606,78,1,5.30,2.28,2
393,1081,7091,78,1,4.48,2.15,4
942,1081,7091,78,1,4.68,2.25,2
853,1081,7091,78,1,7.76,2.64,2
1535,1081,7091,78,1,5.84,2.69,2
1358,1081,2634,78,1,8.40,3.78,4
749,1081,2634,78,1,8.01,2.48,3
892,1081,4698,78,1,5.46,1.80,2
1003,1081,4698,78,1,3.12,1.53,4
1086,1081,4698,78,1,7.59,3.57,3
445,1081,4531,78,1,6.92,2.35,2
35,1081,4531,78,1,6.63,2.65,3
851,1081,4531,78,1,10.04,3.21,4
1520,1081,4531,78,1,6.93,3.19,3
1483,1081,4531,78,1,6.39,1.98,3
668,1081,5624,78,1,15.72,7.23,4
512,1081,5624,78,1,10.96,4.27,4
1394,1081,5624,78,1,5.06,1.92,2
1450,1081,5624,78,1,13.85,5.96,5
867,1081,5624,78,1,5.64,1.75,3
1471,1081,5624,78,1,4.65,2.05,3
75,1081,5624,78,1,2.04,0.88,3
318,1081,5624,78,1,7.41,3.56,3
1358,1081,1553,78,1,6.30,2.71,3
388,1081,1553,78,1,7.05,3.24,3
1324,1081,1553,78,1,9.93,3.48,3
1108,1081,2434,78,1,8.20,2.87,5
1551,1081,2434,78,1,4.64,1.81,4
222,1081,2434,78,1,15.80,6.95,4
266,1081,2434,78,1,8.10,3.24,5
130,1081,1032,78,1,6.69,2.27,3
933,1081,1032,78,1,13.52,4.06,4
910,1081,1032,78,1,7.36,2.36,4
1393,1081,1032,78,1,7.40,3.03,4
1089,1081,1032,78,1,4.94,1.48,2
1172,1081,1032,78,1,8.31,3.82,3
1156,1081,491,78,1,5.46,2.57,3
973,1081,491,78,1,2.68,1.10,2
1522,1081,491,78,1,3.42,1.37,3
1432,1081,491,78,1,5.40,2.43,3
557,1081,491,78,1,2.72,0.87,2
68,1081,491,78,1,10.68,4.81,3
390,1081,491,78,1,11.22,4.94,3
204,1081,340,78,1,4.80,1.73,3
1513,1081,340,78,1,5.70,1.94,3
473,1081,6944,78,1,2.19,1.10,3
1515,1081,6944,78,1,4.40,1.80,4
1111,1081,8491,78,1,2.34,1.15,3
329,1081,8491,78,1,5.22,2.30,3
1531,1081,8491,78,1,1.02,0.41,2
1455,1081,8491,78,1,10.12,3.74,4
1272,1081,8491,78,1,7.44,3.35,3
69,1081,1287,78,1,9.30,2.79,3
340,1081,1287,78,1,2.52,0.83,4
356,1081,1287,78,1,4.72,2.03,2
306,1081,1287,78,1,11.88,3.92,3
200,1081,2634,78,1,7.95,2.94,3
337,1081,2634,78,1,3.00,1.47,4
753,1081,2634,78,1,3.78,1.59,2
1063,1081,2634,78,1,6.36,2.61,2
133,1081,2634,78,1,2.80,1.29,4
1275,1081,2082,78,1,2.34,1.03,2
227,1081,2082,78,1,5.94,2.55,3
670,1081,2082,78,1,5.37,2.04,3
1312,1081,2082,78,1,3.06,1.50,2
942,1081,2082,78,1,7.02,2.18,3
622,1081,491,78,1,2.43,1.02,3
705,1081,491,78,1,2.64,0.92,3
455,1081,491,78,1,6.72,2.28,4
1504,1081,8039,78,1,4.77,1.86,3
761,1081,8039,78,1,5.10,2.35,3
1017,1081,8039,78,1,11.56,5.32,4
1394,1081,8039,78,1,7.59,3.42,3
678,1081,8039,78,1,11.07,4.10,3
1267,1081,8039,78,1,6.40,2.82,4
645,1081,8039,78,1,6.64,2.79,2
1367,1081,8039,78,1,14.28,6.00,4
902,1081,5430,78,1,3.88,1.47,4
1397,1081,5430,78,1,2.86,1.43,2
642,1081,5430,78,1,4.98,2.14,3
619,1081,5430,78,1,9.00,3.78,4
536,1081,462,78,1,5.46,2.51,3
1351,1081,462,78,1,5.01,1.90,3
49,1081,462,78,1,10.14,4.16,3
1366,1081,10113,78,1,11.04,4.53,4
1543,1081,10113,78,1,7.44,3.27,3
1426,1081,10113,78,1,11.22,3.70,3
217,1081,10113,78,1,2.72,1.17,4
727,1081,10113,78,1,5.73,2.23,3
756,1081,10113,78,1,8.04,3.30,3
833,1081,1396,78,1,9.56,4.11,4
24,1081,1396,78,1,8.65,3.98,5
893,1081,1396,78,1,3.64,1.24,4
257,1081,1396,78,1,1.59,0.70,3
1339,1081,1396,78,1,3.93,1.81,3
1210,1081,1396,78,1,8.50,4.08,5
398,1081,6076,78,1,1.60,0.70,2
575,1081,6076,78,1,5.62,2.59,2
458,1081,6076,78,1,4.50,1.58,3
808,1081,6076,78,1,2.78,0.83,2
903,1081,6076,78,1,10.08,4.64,4
1346,1081,6076,78,1,4.70,2.12,2
1132,1081,6944,78,1,6.64,2.06,4
323,1081,6944,78,1,14.00,6.02,4
778,1081,6944,78,1,8.16,3.02,3
556,1081,6944,78,1,13.00,5.46,4
80,1081,6944,78,1,10.89,5.23,3
1095,1081,6944,78,1,3.16,1.26,2
1165,1081,6944,78,1,5.64,1.86,2
1548,1081,6212,78,1,2.01,0.72,3
633,1081,6212,78,1,2.22,1.11,3
263,1081,6212,78,1,7.60,2.74,2
546,1081,6212,78,1,8.34,3.50,3
1255,1081,6212,78,1,3.72,1.26,3
1099,1081,6212,78,1,9.72,4.67,3
127,1081,4350,78,1,3.48,1.08,2
197,1081,4350,78,1,11.64,4.19,4
813,1081,4350,78,1,4.35,1.87,3
110,1081,4350,78,1,7.05,2.89,3
917,1081,5406,78,1,3.36,1.51,3
268,1081,5406,78,1,6.92,3.25,4
657,1081,5406,78,1,6.36,1.97,3
634,1081,5406,78,1,7.59,3.57,3
1117,1081,5406,78,1,10.92,4.80,3
199,1081,8391,78,1,5.01,1.50,3
1254,1081,8391,78,1,7.34,3.38,2
378,1081,8391,78,1,2.22,1.09,2
1447,1081,8391,78,1,8.88,3.37,3
211,1081,8391,78,1,10.88,5.22,4
388,1081,8391,78,1,9.40,4.61,4
1224,1081,4907,78,1,3.72,1.71,3
149,1081,4907,78,1,7.47,2.39,3
1403,1081,4907,78,1,12.20,5.00,5
1487,1081,4907,78,1,2.85,1.11,3
1237,1081,4907,78,1,8.25,3.22,3
428,1081,4907,78,1,2.68,1.21,4
1297,1081,4907,78,1,8.30,3.07,5
493,1073,10160,0,1,10.56,3.59,4
376,1073,10160,0,1,6.81,2.52,3
1294,1073,8474,0,1,3.44,1.65,2
1483,1073,8474,0,1,8.52,4.00,4
907,1073,71,0,1,17.10,7.35,5
258,1073,71,0,1,5.16,2.58,3
1061,1073,71,0,1,6.64,3.19,4
624,1073,71,0,1,9.84,4.62,4
541,1073,7563,0,1,7.52,3.16,4
1356,1073,7563,0,1,6.40,2.88,4
468,1073,7563,0,1,5.22,2.51,3
844,1073,7563,0,1,6.62,2.58,2
1273,1073,7563,0,1,9.93,3.48,3
823,1073,7270,0,1,6.86,3.16,2
147,1073,7270,0,1,2.56,0.79,4
617,1073,7270,0,1,4.64,1.72,4
1179,1073,7270,0,1,10.52,5.15,4
224,1073,7270,0,1,5.19,2.23,3
1312,1073,8231,0,1,7.65,2.60,5
1382,1073,8231,0,1,4.52,2.08,4
767,1073,9585,0,1,4.35,1.35,3
554,1073,5418,0,1,9.42,3.49,3
1342,1073,5418,0,1,11.19,4.70,3
121,1073,5418,0,1,8.94,4.29,3
1496,1073,5418,0,1,7.41,2.96,3
487,1073,5418,0,1,10.40,3.54,4
398,1073,5418,0,1,1.60,0.62,2
1080,1073,5418,0,1,4.38,1.97,2
437,1073,10113,0,1,5.91,2.01,3
547,1073,10113,0,1,4.62,2.31,2
631,1073,10113,0,1,3.12,1.09,4
381,1073,10113,0,1,6.99,2.94,3
1130,1073,10113,0,1,6.20,2.48,4
28,1073,10113,0,1,11.73,4.57,3
1363,1073,10113,0,1,7.98,3.11,3
887,1073,10113,0,1,7.20,2.23,4
778,1073,5618,0,1,8.16,3.10,3
1061,1073,5618,0,1,8.30,2.99,5
213,1073,5618,0,1,1.12,0.40,2
56,1073,5618,0,1,1.42,0.60,2
736,1073,2622,0,1,6.39,2.17,3
432,1073,2622,0,1,9.40,3.20,4
349,1073,462,0,1,4.68,2.01,2
765,1073,462,0,1,5.76,2.82,3
1075,1073,462,0,1,3.08,1.29,2
559,1073,462,0,1,7.56,3.10,2
969,1073,8231,0,1,7.04,2.32,4
1291,1073,8231,0,1,6.90,3.11,3
1468,1073,8231,0,1,2.52,1.11,2
1352,1073,8231,0,1,10.60,4.24,4
143,1073,8231,0,1,4.92,2.26,2
653,1073,8231,0,1,5.56,2.11,2
682,1073,8231,0,1,2.44,0.90,4
1325,1073,8231,0,1,7.15,2.57,5
551,1073,3958,0,1,9.63,4.72,3
967,1073,3958,0,1,1.22,0.46,2
1277,1073,3958,0,1,7.62,3.05,3
761,1073,3958,0,1,5.10,2.19,3
751,1073,3958,0,1,6.57,2.04,3
441,1073,10160,0,1,1.14,0.41,2
884,1073,10160,0,1,7.80,3.82,3
1526,1073,10160,0,1,3.30,1.39,2
1208,1073,6263,0,1,11.48,5.40,4
1357,1073,6263,0,1,5.42,1.95,2
908,1073,6263,0,1,2.76,0.88,4
698,1073,6263,0,1,9.32,3.17,4
914,1073,6263,0,1,9.84,3.64,4
265,1073,6263,0,1,7.22,3.32,2
654,1073,6263,0,1,8.68,3.65,4
1291,1073,1745,0,1,6.90,3.31,3
1108,1073,1745,0,1,4.92,1.62,3
99,1073,1745,0,1,9.44,3.68,4
9,1073,1745,0,1,7.26,2.32,3
692,1073,1745,0,1,3.10,1.40,2
1409,1073,8943,0,1,2.12,0.98,4
1559,1073,8943,0,1,4.86,1.60,3
696,1073,8943,0,1,2.16,0.97,3
900,1073,8943,0,1,3.72,1.67,2
1116,1073,8943,0,1,5.06,1.52,2
467,1073,8943,0,1,7.62,2.90,2
856,1073,8943,0,1,7.17,2.58,3
833,1073,8943,0,1,7.17,2.51,3
88,1073,9374,0,1,3.44,1.24,4
410,1073,9374,0,1,5.04,2.37,4
587,1073,9374,0,1,9.81,3.34,3
470,1073,9374,0,1,14.50,4.79,5
27,1073,826,0,1,10.60,3.39,4
1423,1073,7021,0,1,7.11,3.20,3
348,1073,7021,0,1,4.92,1.53,4
44,1073,7021,0,1,11.72,5.04,4
127,1073,7021,0,1,3.48,1.46,2
1436,1073,7021,0,1,2.76,1.16,3
627,1073,7021,0,1,5.10,2.45,3
1205,1073,7021,0,1,5.20,2.08,2
789,1073,2814,0,1,7.24,3.04,2
672,1073,2814,0,1,10.02,4.21,3
1022,1073,2814,0,1,4.53,2.13,3
1531,1073,2814,0,1,1.53,0.52,3
27,1073,3277,0,1,7.95,2.62,3
1375,1073,3277,0,1,4.26,1.79,2
33,1073,3277,0,1,4.08,1.51,3
536,1073,2094,0,1,5.46,1.97,3
260,1073,2094,0,1,7.36,3.53,4
676,1073,2094,0,1,9.87,4.05,3
986,1073,2094,0,1,7.00,2.80,2
470,1073,2094,0,1,8.70,3.92,3
54,1073,8294,0,1,11.72,4.22,4
149,1073,8294,0,1,9.96,4.18,4
592,1073,8294,0,1,4.96,1.84,2
1235,1073,8294,0,1,2.76,0.91,2
1279,1073,8294,0,1,11.84,4.26,4
4,1073,8294,0,1,7.28,3.20,2
299,1073,8294,0,1,6.72,2.28,4
324,1073,4362,0,1,5.91,2.78,3
461,1073,4362,0,1,5.44,2.01,2
877,1073,4362,0,1,4.74,1.61,3
1187,1073,4362,0,1,6.60,2.71,3
258,1073,4362,0,1,5.16,2.32,3
661,1073,4362,0,1,7.02,2.88,3
1447,1073,10113,0,1,8.88,4.35,3
598,1073,10113,0,1,6.08,2.68,4
442,1073,10113,0,1,6.72,2.76,3
1324,1073,10113,0,1,6.62,2.85,2
1380,1073,10113,0,1,18.10,5.79,5
798,1073,10113,0,1,10.84,4.55,4
914,1073,1396,0,1,12.30,5.04,5
459,1073,6339,0,1,1.92,0.86,3
1274,1073,6339,0,1,3.93,1.45,3
1530,1073,6339,0,1,3.81,1.52,3
1289,1073,9374,0,1,6.05,1.88,5
1465,1073,9374,0,1,11.16,3.35,4
1349,1073,9374,0,1,11.60,4.18,4
140,1073,9374,0,1,7.28,3.06,4
650,1073,9374,0,1,6.20,2.48,4
766,1073,1823,0,1,1.86,0.74,3
743,1073,1823,0,1,3.84,1.77,4
1226,1073,1823,0,1,11.84,4.74,4
922,1073,1823,0,1,5.18,1.97,2
1006,1073,1823,0,1,8.56,3.25,4
756,1073,1823,0,1,13.40,5.90,5
1505,1073,1823,0,1,13.75,4.95,5
816,1073,1823,0,1,4.58,1.60,2
1269,1073,7976,0,1,7.94,3.18,2
354,1073,7976,0,1,4.50,2.25,2
398,1073,7976,0,1,2.40,1.08,3
680,1073,7976,0,1,4.41,2.07,3
1390,1073,7976,0,1,7.64,3.59,4
820,1073,7976,0,1,2.10,0.76,3
144,1073,7976,0,1,2.04,0.65,4
1554,1073,8491,0,1,7.62,3.51,3
306,1073,8491,0,1,15.84,6.65,4
1348,1073,8491,0,1,9.88,4.35,4
1338,1073,8491,0,1,4.44,2.09,2
955,1073,8491,0,1,7.66,3.22,2
545,1073,8491,0,1,4.35,1.65,3
1022,1073,9954,0,1,6.04,1.93,4
346,1073,9954,0,1,4.24,2.08,2
816,1073,9954,0,1,11.45,5.27,5
1377,1073,9954,0,1,5.66,1.92,2
422,1073,9954,0,1,14.68,6.46,4
999,1073,9954,0,1,5.42,2.11,2
586,1073,634,0,1,4.26,1.92,3
896,1073,634,0,1,5.36,1.61,2
1121,1073,1560,0,1,11.61,4.30,3
1243,1073,1560,0,1,4.72,1.56,4
461,1073,1560,0,1,5.44,2.67,2
1250,1073,1560,0,1,4.32,1.38,2
29,1073,1560,0,1,7.12,2.85,4
1403,1073,1560,0,1,4.88,1.76,2
395,1073,1560,0,1,8.88,2.84,4
305,1073,1560,0,1,13.56,4.61,4
289,1073,5065,0,1,4.11,1.44,3
1134,1073,5065,0,1,3.64,1.49,2
32,1073,5065,0,1,5.72,2.75,2
947,1073,8925,0,1,1.95,0.84,3
1324,1073,8925,0,1,6.62,2.85,2
608,1073,8925,0,1,2.04,0.88,3
1197,1073,8925,0,1,12.56,4.40,4
783,1073,5652,0,1,7.41,2.82,3
1066,1073,5652,0,1,11.56,4.16,4
217,1073,5652,0,1,1.36,0.49,2
61,1073,5652,0,1,1.48,0.62,2
643,1073,1805,0,1,5.52,1.82,3
340,1073,1805,0,1,1.89,0.62,3
257,1073,9049,0,1,1.06,0.33,2
673,1073,9049,0,1,10.96,4.38,4
983,1073,9049,0,1,2.46,0.89,3
406,1073,9585,0,1,6.56,3.08,4
223,1073,9585,0,1,12.76,4.85,4
773,1073,9585,0,1,2.84,0.88,4
1119,1073,8649,0,1,12.68,4.56,4
31,1073,8649,0,1,6.20,2.60,4
614,1073,462,0,1,15.12,6.05,4
404,1073,462,0,1,3.75,1.73,3
620,1073,462,0,1,2.92,1.28,4
1529,1073,462,0,1,9.81,4.32,3
774,1073,462,0,1,4.90,2.16,2
337,1073,462,0,1,2.25,0.72,3
362,1073,7098,0,1,7.94,3.49,2
1138,1073,7098,0,1,4.88,2.39,2
349,1073,1371,0,1,9.36,4.49,4
445,1073,1371,0,1,10.38,4.26,3
888,1073,1371,0,1,3.52,1.62,4
1531,1073,1371,0,1,2.04,0.65,4
17,1073,1371,0,1,11.96,5.38,4
300,1073,1371,0,1,11.76,4.47,4
595,1073,1371,0,1,5.68,2.44,4
439,1073,1371,0,1,14.00,6.86,4
1345,1073,3032,0,1,11.04,5.08,3
962,1073,3032,0,1,5.61,2.36,3
553,1073,3032,0,1,5.73,1.72,3
1368,1073,3032,0,1,10.65,3.62,3
480,1073,3032,0,1,5.07,2.48,3
476,1073,6076,0,1,7.28,3.49,2
1185,1073,6076,0,1,4.05,1.50,3
1251,1085,1014,0,1,10.74,4.94,3
1201,1085,1014,0,1,10.11,4.04,3
1351,1085,1014,0,1,5.01,2.25,3
488,1085,1014,0,1,10.36,3.21,4
692,1085,1014,0,1,6.20,2.36,4
908,1085,1014,0,1,2.07,0.77,3
259,1085,1014,0,1,5.70,2.05,3
1045,1085,1882,0,1,14.80,5.18,4
1382,1085,1882,0,1,4.52,1.49,4
7,1085,6563,0,1,10.44,3.24,4
236,1085,6563,0,1,5.43,2.50,3
279,1085,6563,0,1,14.10,6.49,5
562,1085,6563,0,1,2.95,0.94,5
1271,1085,6563,0,1,17.50,7.70,5
1115,1085,6563,0,1,10.00,4.30,4
1313,1085,3713,0,1,15.68,7.53,4
970,1085,3713,0,1,12.44,5.22,4
451,1085,680,0,1,3.56,1.42,2
828,1085,680,0,1,3.87,1.78,3
1543,1085,3168,0,1,4.96,1.93,2
1420,1085,6048,0,1,5.19,2.08,3
1450,1085,6048,0,1,8.31,3.82,3
534,1085,6048,0,1,6.76,2.16,2
578,1085,6048,0,1,6.87,3.09,3
861,1085,6048,0,1,9.80,3.92,4
1485,1085,6631,0,1,4.50,2.12,3
1235,1085,6631,0,1,4.14,2.03,3
426,1085,6631,0,1,2.40,0.91,4
1296,1085,6631,0,1,12.55,6.02,5
659,1085,6631,0,1,9.63,4.82,3
183,1085,6631,0,1,9.64,3.08,4
54,1085,6631,0,1,11.72,4.81,4
1208,1085,8176,0,1,8.61,4.31,3
93,1085,8176,0,1,3.84,1.50,4
736,1085,8176,0,1,4.26,1.49,2
780,1085,8176,0,1,8.52,2.73,3
1063,1085,8176,0,1,12.72,4.32,4
1358,1085,8176,0,1,4.20,1.81,2
773,1085,9432,0,1,1.42,0.45,2
230,1085,9432,0,1,3.57,1.61,3
301,1085,9432,0,1,1.59,0.48,3
916,1085,9432,0,1,7.71,2.78,3
213,1085,9432,0,1,1.68,0.82,3
351,1085,9432,0,1,11.04,4.64,4
767,1085,9432,0,1,4.35,1.87,3
99,1085,7213,0,1,9.44,4.06,4
1501,1085,7213,0,1,5.04,1.92,2
825,1085,7213,0,1,8.49,2.89,3
881,1085,7213,0,1,3.62,1.34,2
299,1085,7213,0,1,3.36,1.55,2
975,1085,1371,0,1,11.28,5.53,3
432,1085,1371,0,1,9.40,3.67,4
502,1085,1371,0,1,12.68,4.44,4
1118,1085,1371,0,1,11.72,4.45,4
415,1085,1371,0,1,11.64,4.77,4
552,1085,1371,0,1,2.75,0.83,5
968,1085,1371,0,1,5.12,2.36,4
864,1085,1371,0,1,4.89,2.35,3
1078,1085,9432,0,1,6.56,2.76,4
96,1085,9432,0,1,6.33,3.04,3
339,1085,9432,0,1,4.20,1.68,3
23,1085,9432,0,1,5.25,2.05,3
972,1085,9432,0,1,6.69,2.61,3
728,1085,6631,0,1,7.56,2.42,4
853,1085,6631,0,1,11.64,3.72,3
1163,1085,6631,0,1,2.46,0.93,3
647,1085,6631,0,1,10.96,5.48,4
637,1085,6631,0,1,4.30,2.06,5
254,1085,6631,0,1,1.12,0.54,2
891,1085,9374,0,1,9.88,4.54,4
321,1085,9374,0,1,7.23,3.25,3
997,1085,1823,0,1,13.16,5.66,4
1146,1085,1823,0,1,7.71,3.24,3
697,1085,1823,0,1,5.32,2.29,4
487,1085,1823,0,1,10.40,5.10,4
703,1085,1823,0,1,11.88,4.87,4
54,1085,1823,0,1,8.79,3.43,3
1133,1085,4607,0,1,6.16,3.08,4
711,1085,4607,0,1,8.67,3.03,3
834,1085,4607,0,1,8.88,3.73,3
52,1085,4607,0,1,4.34,1.74,2
235,1085,3138,0,1,10.65,3.30,3
705,1085,3138,0,1,1.76,0.83,2
1267,1085,3138,0,1,4.80,1.92,3
312,1085,3138,0,1,8.52,4.09,4
888,1085,3138,0,1,2.64,0.98,3
1179,1085,1260,0,1,13.15,5.00,5
237,1085,1260,0,1,10.72,5.15,4
1092,1085,1260,0,1,11.90,5.12,5
1229,1085,1260,0,1,5.20,2.34,4
87,1085,1260,0,1,3.56,1.71,2
397,1085,1260,0,1,2.70,1.03,2
646,1085,4020,0,1,3.84,1.69,3
7,1085,5852,0,1,5.22,1.83,2
610,1085,5852,0,1,6.81,3.27,3
773,1085,5852,0,1,2.84,1.33,4
1016,1085,5852,0,1,2.34,0.75,2
1160,1085,622,0,1,5.52,1.99,2
683,1085,622,0,1,6.48,2.53,3
140,1085,622,0,1,5.46,1.91,3
211,1085,622,0,1,8.16,2.53,3
827,1085,622,0,1,1.90,0.63,2
124,1085,622,0,1,3.63,1.52,3
261,1085,622,0,1,13.52,4.60,4
858,1085,5852,0,1,4.44,1.86,2
9,1085,5852,0,1,7.26,2.32,3
1411,1085,5852,0,1,3.80,1.82,2
735,1085,5852,0,1,2.94,1.47,2
132,1085,9887,0,1,5.76,2.36,3
215,1085,9887,0,1,2.37,0.81,3
1524,1085,9887,0,1,2.52,0.83,2
1428,1085,2434,0,1,11.58,3.94,3
685,1085,2434,0,1,3.06,1.13,2
941,1085,2434,0,1,15.80,7.27,4
1318,1085,2434,0,1,3.72,1.34,4
602,1085,2434,0,1,10.70,4.07,5
1191,1085,2434,0,1,8.40,3.36,4
569,1085,2434,0,1,9.48,4.65,3
755,1085,9954,0,1,8.94,3.31,3
705,1085,9954,0,1,1.76,0.70,2
855,1085,9954,0,1,7.23,3.62,3
406,1085,9954,0,1,4.92,2.21,3
1055,1085,462,0,1,4.86,2.24,3
1365,1085,462,0,1,1.59,0.57,3
558,1085,462,0,1,2.40,0.89,3
547,1085,462,0,1,6.93,2.77,3
1290,1085,9374,0,1,6.42,3.02,2
1467,1085,9374,0,1,15.52,5.12,4
1350,1085,9374,0,1,2.76,1.24,3
1280,1085,2094,0,1,5.48,2.30,4
398,1085,2152,0,1,3.20,1.38,4
614,1085,2152,0,1,11.34,3.63,3
1523,1085,2152,0,1,6.24,3.06,4
354,1085,2152,0,1,9.00,2.79,4
755,1085,8039,0,1,8.94,3.58,3
345,1085,8039,0,1,6.33,2.66,3
1160,1085,8039,0,1,8.28,3.73,3
272,1085,8039,0,1,11.73,3.99,3
235,1085,8039,0,1,10.65,5.33,3
1077,1085,8039,0,1,14.72,4.71,4
222,1085,1948,0,1,11.85,4.74,3
384,1085,1948,0,1,1.62,0.62,3
628,1085,1948,0,1,5.60,2.63,4
312,1085,1948,0,1,4.26,1.53,2
1260,1085,1948,0,1,2.68,0.86,4
1530,1085,1948,0,1,5.08,2.49,4
542,1085,680,0,1,4.53,1.49,3
644,1085,680,0,1,3.48,1.11,4
1459,1085,680,0,1,4.29,1.42,3
157,1085,680,0,1,5.90,2.60,2
533,1085,680,0,1,4.84,1.79,2
1376,1085,680,0,1,5.04,1.81,3
407,1085,680,0,1,9.63,3.66,3
1124,1085,3192,0,1,3.24,1.56,4
1141,1085,3192,0,1,6.70,2.14,5
1091,1085,3192,0,1,7.12,3.35,2
1241,1085,3192,0,1,8.94,3.84,3
791,1085,3192,0,1,6.45,3.03,3
995,1085,3192,0,1,3.45,1.24,3
1211,1085,3192,0,1,7.58,2.35,2
146,1085,8649,0,1,7.66,2.83,2
1348,1085,8649,0,1,12.35,4.57,5
1271,1085,8649,0,1,10.50,4.52,3
1088,1085,8649,0,1,9.96,3.49,3
79,1085,8649,0,1,6.60,2.24,5
1548,1085,8649,0,1,1.34,0.44,2
672,1085,8649,0,1,16.70,6.51,5
1296,1085,6339,0,1,5.02,1.56,2
1406,1085,6339,0,1,1.12,0.53,2
1489,1085,6339,0,1,5.19,2.60,3
1240,1085,6339,0,1,6.78,2.58,3
431,1085,6339,0,1,3.84,1.84,4
348,1085,1447,0,1,3.69,1.51,3
1550,1085,1447,0,1,7.24,2.24,4
1473,1085,1447,0,1,9.44,4.44,4
1290,1085,1447,0,1,9.63,2.89,3
281,1085,1447,0,1,10.52,4.21,4
191,1085,1447,0,1,5.74,2.01,2
1470,1085,6093,0,1,9.64,3.28,4
128,1085,6093,0,1,1.06,0.46,2
777,1085,9432,0,1,7.44,2.38,2
235,1085,9432,0,1,10.65,4.90,3
